UsuarioID,Calle,Ciudad,Departamento,Provincia,Distrito,Estado,CodigoPostal,Pais
1,Diagonal Chilecito N° 335,Comodoro Rivadavia,Mendoza,Mendoza,Recoleta,Mendoza,10044733,Argentina
2,Diagonal Río Negro N° 497,Rawson,Tierra del Fuego,Tierra del Fuego,Palermo,Tierra del Fuego,76007280,Argentina
3,Blv. Formosa N° 118,Mar del Plata,Salta,Salta,Barracas,Salta,53604249,Argentina
4,Avenida La Rioja N° 612,San Juan,Neuquén,Neuquén,Flores,Neuquén,91031542,Argentina
5,Calle Neuquén N° 535,San Juan,Catamarca,Catamarca,Barracas,Catamarca,33002152,Argentina
6,Calle Mar del Plata N° 5049,Ushuaia,San Juan,San Juan,Boedo,San Juan,31007563,Argentina
7,Diagonal Mitre N° 352,La Plata,Río Negro,Río Negro,Boedo,Río Negro,20003325,Argentina
8,Av. 6 N° 94,San Miguel de Tucumán,Jujuy,Jujuy,Palermo,Jujuy,47006324,Argentina
9,Avenida Alem N° 232,Merlo,Tierra del Fuego,Tierra del Fuego,Flores,Tierra del Fuego,76001174,Argentina
10,Blv. Salta N° 882,Río Gallegos,Salta,Salta,Villa Crespo,Salta,33000435,Argentina
11,Diagonal J.M. de Rosas N° 91,Corrientes,Río Negro,Río Negro,Caballito,Río Negro,44006774,Argentina
12,Diagonal La Rioja N° 596,Santiago del Estero,San Juan,San Juan,Boedo,San Juan,44000507,Argentina
13,Diagonal Belgrano N° 7294,Mar del Plata,Entre Ríos,Entre Ríos,San Telmo,Entre Ríos,19001192,Argentina
14,Av. Santa Fe N° 558,Chilecito,La Pampa,La Pampa,Boedo,La Pampa,44004926,Argentina
15,Calle Formosa N° 481,La Rioja,Corrientes,Corrientes,Barracas,Corrientes,10048973,Argentina
16,Calle Córdoba N° 3331,Santa Fe,Formosa,Formosa,Recoleta,Formosa,31002239,Argentina
17,Av. 9 N° 939,Ushuaia,Tucumán,Tucumán,San Telmo,Tucumán,36003432,Argentina
18,Blv. Formosa N° 152,Santa Fe,Buenos Aires,Buenos Aires,Belgrano,Buenos Aires,33005618,Argentina
19,Av. 9 N° 3413,Rawson,Santa Fe,Santa Fe,Retiro,Santa Fe,63009940,Argentina
20,Av. San Luis N° 607,Bahía Blanca,Chubut,Chubut,Villa Crespo,Chubut,46009001,Argentina
21,Calle Comodoro Rivadavia N° 449,San Miguel de Tucumán,Chaco,Chaco,Palermo,Chaco,31008255,Argentina
22,Diagonal Misiones N° 818,Comodoro Rivadavia,Formosa,Formosa,Recoleta,Formosa,33002825,Argentina
23,Av. San Miguel de Tucumán N° 2589,San Juan,Santiago del Estero,Santiago del Estero,Boedo,Santiago del Estero,46008398,Argentina
24,Diag. Posadas N° 373,Resistencia,Corrientes,Corrientes,Palermo,Corrientes,46009855,Argentina
25,Av. Bahía Blanca N° 9668,San Ferando del Valle de Catamarca,San Luis,San Luis,Retiro,San Luis,94005049,Argentina
26,Av. Río Negro N° 191,Bahía Blanca,Formosa,Formosa,Caballito,Formosa,53603833,Argentina
27,Diag. San Miguel de Tucumán N° 82,Merlo,Corrientes,Corrientes,Retiro,Corrientes,80003346,Argentina
28,Av. 6 N° 8962,Posadas,Misiones,Misiones,San Telmo,Misiones,80003982,Argentina
29,Calle Salta N° 63,Chilecito,Buenos Aires,Buenos Aires,Caballito,Buenos Aires,46001071,Argentina
30,Calle San Luis N° 771,Paraná,Jujuy,Jujuy,Barracas,Jujuy,85005714,Argentina
31,Diagonal 1 N° 773,Santa Fe,Formosa,Formosa,San Telmo,Formosa,58811238,Argentina
32,Diagonal Constitución N° 91,San Juan,Río Negro,Río Negro,Boedo,Río Negro,55003648,Argentina
33,Camino Córdoba N° 11,Mendoza,Formosa,Formosa,San Telmo,Formosa,80002793,Argentina
34,Avenida Saavedra N° 537,Bahía Blanca,Buenos Aires,Buenos Aires,Flores,Buenos Aires,31003900,Argentina
35,Av. 8 N° 647,San Salvador de Jujuy,Catamarca,Catamarca,Barracas,Catamarca,53000452,Argentina
36,Camino Pte. Perón N° 166,San Juan,Catamarca,Catamarca,Palermo,Catamarca,47009367,Argentina
37,Diagonal 4 N° 116,Mendoza,Misiones,Misiones,Flores,Misiones,58814559,Argentina
38,Calle Neuquén N° 47,Río Gallegos,San Juan,San Juan,Belgrano,San Juan,42001063,Argentina
39,Diag. 7 N° 62,Ushuaia,Corrientes,Corrientes,Belgrano,Corrientes,50002560,Argentina
40,Av. Río Gallegos N° 876,La Rioja,Chaco,Chaco,Caballito,Chaco,20000104,Argentina
41,Calle Corrientes N° 253,Chilecito,Chubut,Chubut,Belgrano,Chubut,44006867,Argentina
42,Diagonal Saavedra N° 3840,Merlo,Salta,Salta,Belgrano,Salta,76009049,Argentina
43,Diagonal 1 N° 86,Mendoza,Misiones,Misiones,Barracas,Misiones,55007453,Argentina
44,Diagonal Saavedra N° 6848,Córdoba,Tierra del Fuego,Tierra del Fuego,Recoleta,Tierra del Fuego,63009805,Argentina
45,Avenida 1 N° 886,Ushuaia,Jujuy,Jujuy,Retiro,Jujuy,50004769,Argentina
46,Boulevard Mar del Plata N° 712,Mar del Plata,Jujuy,Jujuy,Flores,Jujuy,33005573,Argentina
47,Boulevard La Pampa N° 983,San Salvador de Jujuy,Chubut,Chubut,Palermo,Chubut,76006851,Argentina
48,Avenida J.J. Castelli N° 281,Posadas,Tucumán,Tucumán,Villa Crespo,Tucumán,55002595,Argentina
49,Avenida Buenos Aires N° 44,Bahía Blanca,La Pampa,La Pampa,Boedo,La Pampa,58815528,Argentina
50,Avenida 6 N° 22,Viedma,Chubut,Chubut,Belgrano,Chubut,33003863,Argentina
51,Av. J.M. de Rosas N° 719,Río Gallegos,Entre Ríos,Entre Ríos,Flores,Entre Ríos,46008125,Argentina
52,Calle Mitre N° 7476,San Juan,Corrientes,Corrientes,Palermo,Corrientes,35004339,Argentina
53,Blv. Formosa N° 394,San Ferando del Valle de Catamarca,Misiones,Misiones,Belgrano,Misiones,53004896,Argentina
